employee_id,name,role,department,performance,experience,training_hours,salary,remote_share,team_size,manager_quality
E100036,Prof. Anne Krause,Account Manager,Sales,140.89413355364655,2,38.4173611859601,17394.427222054306,0.14864971517874365,12,4
E100037,Lilli Mosemann-Rädel,Business Development Manager,Sales,140.42067171377755,11,39.74178814951642,49048.89016847183,0.8244174360297783,4,3
E100038,Yasmin Röhrdanz,Software Engineer,IT,181.9592503957303,12,44.33885480001643,53590.629114045805,0.5016249349179084,9,4
E100039,Milos Ullmann,IT Project Lead,IT,184.505983517734,12,46.71886574951556,56818.36827135078,0.8296369307064585,9,5
E100040,Mirco Reising,Line Manager,Sales,170.02128889983078,9,29.009371794283513,46656.61061237522,0.6632711080931621,13,5
E100041,Paola Segebahn,Software Engineer,IT,130.0472816675551,3,31.87915068056435,37738.367711225,0.7960778184040601,9,3
E100042,Beate Hornig,Business Development Manager,Sales,138.80222763791033,8,30.29247712436898,35101.05669304877,0.06670863380128281,5,2
E100043,Dr. Insa Adler,Recruiter,HR,157.56013670378348,1,54.12447401591422,31715.81573896525,0.5619789864120499,14,3
E100044,Yvette Otto,Key Account Manager,Sales,163.25118857881978,18,38.79729409797464,57602.48603543299,0.9243936277641829,9,1
E100045,Prof. Urban Döring,Software Engineer,IT,121.69712415275994,0,40.16129295245021,23958.48242170334,0.35456671322372707,3,4
E100046,Sibilla Schwital,Business Development Manager,Sales,145.4610553491919,6,40.577743640135125,41064.172260680694,0.585842167893071,12,3
E100047,Cornelius Köster B.A.,System Administrator,IT,165.49618225285184,16,32.843299862823606,68381.31993936778,0.3003034857331527,3,4
E100048,Krzysztof Junitz,Line Manager,IT,165.7870096009338,2,55.642695189460305,35856.0338173503,0.890358357785515,7,4
E100049,Frau Beate Klotz B.Eng.,Business Development Manager,Sales,184.7479887259114,19,44.11026654818728,68091.15498568559,0.43690027848843593,4,3
E100050,Herr Ernst-Otto Rosenow B.Sc.,HR Business Partner,HR,176.07458561238684,19,40.39590529777949,67902.34805266449,0.5431678895904268,11,5
E100051,Pascal Neureuther,IT Project Lead,IT,166.74125343642214,20,28.94743578849434,66431.85553397766,0.6171049574474036,9,3
E100052,Raimund Reichmann,HR Manager,HR,113.73075851730786,2,28.380675083437552,31280.082933136582,0.6354886080937765,6,3
E100053,Carlo Sorgatz-Mülichen,HR Business Partner,HR,117.59238443050464,2,36.91092468394232,36136.880227353984,0.31702972168783544,6,1
E100054,Ing. Jose auch Schlauchin,Software Engineer,IT,170.52905711193637,16,33.0000820642817,55073.19740777753,0.8045087761491346,4,2
E100055,Dr. Uschi Reuter,Line Manager,HR,126.87502784336863,6,29.325556544534482,44965.2702514151,0.5185362919641976,7,3
E100056,Olaf Jockel MBA.,Business Development Manager,Sales,176.8657702331733,13,36.29041980428445,54057.464664405736,0.15212915747735672,6,1
E100057,Imelda Plath,Business Development Manager,Sales,173.0250177348357,16,37.835719717241105,66127.78537434782,0.12161335237957173,14,1
E100058,Bertha Hentschel B.A.,Sales Representative,Sales,153.63536112603396,17,41.4178542046027,68805.46728616042,0.6013814335655125,3,2
E100059,Gunther Bärer,Business Development Manager,Sales,157.31504720682472,12,34.96080528625737,45634.5799374713,0.11200762752703276,14,3
E100060,Prof. Emil Albers B.Sc.,Account Manager,Sales,189.5593457725198,19,29.92399305339969,65092.09618386391,0.5340898253290746,10,4
E100061,Erdal Börner,Business Development Manager,Sales,184.21738538072253,19,30.270791140087532,63722.36156029688,0.2852271022649072,5,2
E100062,Stefano Kabus,HR Specialist,HR,173.39352080555255,20,52.129727292261876,60936.36017463428,0.6798284035510416,8,3
E100063,Jiri Hellwig,Business Development Manager,Sales,152.38232884959294,17,27.48242313638258,58837.33361895295,0.6890711589743392,6,2
E100064,Marie-Luise Neureuther,Line Manager,Sales,142.3787176512141,3,43.6318229829127,48206.279226326704,0.6819096199735192,11,3
E100065,Juri Eigenwillig MBA.,Software Engineer,IT,133.78234165903285,0,45.195463297743956,33047.549481062204,0.7901233103971627,9,4
E100066,Dipl.-Ing. Ronald Ladeck B.A.,Line Manager,Sales,196.19397543408277,17,38.78724524164331,73586.43984302877,0.6155498531836385,11,4
E100067,Benedikt Sorgatz,Recruiter,HR,164.58350244733532,0,57.67829058405179,34145.49220009168,0.7494509271734685,12,5
E100068,Ing. Hildegart Langern,Key Account Manager,Sales,175.9363764969971,12,45.01718993027699,50290.784194957625,0.5988081910017974,5,5
E100069,Solveig Vollbrecht B.Sc.,People Operations Lead,HR,154.85816599937593,19,58.4290304830465,66091.14401662978,0.46677683006440684,3,1
E100070,Ante Kusch,IT Project Lead,IT,198.10814360052248,19,33.489359980851276,70942.18090120153,0.09857047789091193,7,5
E100071,Ria Dörr,Business Development Manager,Sales,128.37262145604893,9,33.66054590106582,50187.53101736518,0.8446264633650616,5,1
E100072,Dr. Donald Reising MBA.,Key Account Manager,Sales,184.1478818756141,10,45.27537158680015,47113.28992145833,0.8973085969879302,8,5
E100073,Heimo Gnatz-Holsten,Recruiter,HR,123.43025188616316,8,37.38534362680797,38450.034147103965,0.459311286081097,10,2
E100074,Elfie Bruder MBA.,DevOps Engineer,IT,189.3435621982235,8,56.85665424892018,62438.805936943696,0.40482354719417923,13,4
E100075,Andrei Siering,IT Project Lead,IT,147.29370659006668,4,43.41700383630938,37294.25163828597,0.13802120556319933,6,2
E100076,Zbigniew Davids,System Administrator,IT,123.74077320288676,0,29.554257801432843,28371.3055340869,0.4425184404600396,7,2
E100077,Dr. Hansjürgen Neureuther MBA.,Business Development Manager,Sales,162.04615211845817,16,22.631835914559744,62566.67231952651,0.5601204727305811,7,4
E100078,Steven Kühnert B.Sc.,Business Development Manager,Sales,142.5989873270906,1,39.21761407656735,30786.357053444855,0.2551924772409855,6,5
E100079,Dipl.-Ing. Abdullah Krebs,Account Manager,Sales,152.54258944942265,12,39.10876870466767,54613.64453852742,0.2666632769731266,6,3
E100080,Ursula Ziegert,HR Manager,HR,146.43284104285982,8,43.13765923308387,52434.736430582096,0.5361744889423744,6,3
E100081,Eva Löchel MBA.,Software Engineer,IT,166.51883228535166,3,52.10690573755903,35377.25760156788,0.47383920190964907,6,5
E100082,Donald Hübel-Harloff,Sales Lead,Sales,147.33437723382752,4,50.791133039939275,32186.447803361192,0.2878166030133885,6,2
E100083,Klaus Wähner,Sales Representative,Sales,138.3250712493504,10,34.21098967663567,49191.78102760694,0.8336676236481131,7,1
E100084,Peter-Michael Johann,Account Manager,Sales,156.44378236565407,18,27.061805981955786,63677.99109295045,0.0382964755484807,4,1
E100085,Andrei Sauer,Account Manager,Sales,158.37568407867076,20,27.658788649909297,77119.49468623426,0.8257896574034089,4,3
E100086,Prof. Trudi Radisch B.A.,DevOps Engineer,IT,122.36036964635332,2,32.631982946786216,39855.595323687856,0.2987305841417246,11,3
E100087,Wolf-Dietrich Pechel,IT Project Lead,IT,156.20827870931328,11,36.332684519609806,52537.625002153996,0.5135432796008809,4,2
E100088,Simon Gotthard,Recruiter,HR,165.17059715775804,18,43.05062138965167,59606.320725903715,0.5873578481179212,8,1
E100089,Konstantinos Börner,Data Scientist,IT,174.8408966446334,18,31.990324031040203,59870.538682800274,0.5029457512542526,4,3
E100090,Dipl.-Ing. Bruno Roskoth B.A.,Sales Representative,Sales,179.184080528495,12,42.80391971113314,54075.61630792277,0.5181413306113781,7,5
E100091,Lorenzo Butte,DevOps Engineer,IT,131.96621785076812,6,43.62040145859052,43681.614846606404,0.4814792667553407,6,3
E100092,Univ.Prof. Lidia Rosemann,Software Engineer,IT,177.5459344046484,14,41.433438825958895,56126.88590336972,0.5163987360530808,14,4
E100093,Valeria Heß,Software Engineer,IT,149.1573377677954,6,28.71377002987305,39599.15207896383,0.6877479503554015,9,4
E100094,Mesut Trubin B.Eng.,IT Project Lead,IT,166.31124415395047,7,44.67826725235958,41036.00383410676,0.7207622779437873,9,4
E100095,Ing. Hans-Theo Eigenwillig B.Eng.,IT Project Lead,IT,154.74207859148476,4,60.81269628766723,37883.03019878027,0.2238638426450849,8,2
E100096,Freya Weitzel B.Sc.,IT Project Lead,IT,201.13881750909644,20,42.458968269129045,58086.18823963468,0.8077971462982602,12,4
E100097,Hermann Scholtz,Data Scientist,IT,144.97949869260216,13,10.469248993487305,50493.36685615145,0.259132935824957,7,2
E100098,Arndt Renner,Account Manager,Sales,144.16864185700666,3,52.40879572046903,32864.74577276325,0.7487806271547506,3,3
E100099,Janus Hettner B.A.,Key Account Manager,Sales,150.3115613315315,9,32.97252223300613,54037.515974759604,0.6450645870006094,14,2
E100100,Suse Bohnbach,Sales Lead,Sales,207.71943498881203,19,62.657126904956925,63930.93179035535,0.2359927461555444,5,3
E100101,Ing. Friedhelm Franke MBA.,Data Scientist,IT,190.55354612621045,14,41.1636345136596,58902.34070915603,0.7614164959724044,11,5
E100102,Lore Söding,Sales Representative,Sales,143.55436193985142,17,23.152993060141746,65132.71375465498,0.6436584921747742,3,3
E100103,Meinolf Röhrdanz,DevOps Engineer,IT,166.05685614285073,19,19.353025100412474,74489.58252830381,0.5928363893547335,7,4
E100104,Valentina Spieß,Recruiter,HR,155.89191468081705,12,55.397407626758785,60312.88703482075,0.3905779601445936,4,2
E100105,Walter Eimer,Account Manager,Sales,174.60252630695766,7,51.059049859172724,43712.48515602542,0.5972313539819628,6,4
E100106,Benita Döring,IT Project Lead,IT,180.15932855641623,8,62.260188857666904,43622.576294052786,0.27968983156916055,13,3
E100107,Franz-Peter Holzapfel-Schleich,Data Scientist,IT,176.98241926916754,15,40.109244855735554,56680.83448587155,0.4978408340756142,3,5
E100108,Ortwin Karz B.A.,Sales Lead,Sales,167.49738961672605,18,39.4347011662032,64794.6838876711,0.21904758978869449,5,4
E100109,Jolanda Niemeier,Business Development Manager,Sales,179.2984661181396,15,36.172812078414424,57829.833228382,0.8481104747128688,12,3
E100110,Thekla Birnbaum,Key Account Manager,Sales,136.1755131716234,6,33.417097587407795,44768.13704679116,0.5198916681953986,9,2
E100111,Manfred Löchel,Business Development Manager,Sales,169.74555758292746,13,36.07570445542184,58101.54908742602,0.4544004150638865,12,3
E100112,Angela Adler,Line Manager,HR,155.6709272074873,13,42.17463332324029,58959.00595572508,0.6461550225081039,5,1
E100113,Patricia Ehlert,HR Specialist,HR,111.75506985218466,3,31.560992130878983,42296.41855718084,0.8747849964252458,6,1
E100114,Cathleen Weihmann,Software Engineer,IT,140.81497715502636,14,23.307106531260164,67314.34560700088,0.3431783145225978,4,2
E100115,Kordula Trapp MBA.,HR Specialist,HR,102.45585597289893,2,41.59876634014178,34623.31696703778,0.6167319127613605,5,2
E100116,Bertram Bruder,HR Business Partner,HR,129.0747127236589,4,31.33804401306568,43497.318856978265,0.5778859501120134,11,3
E100117,Jörn Beier-Koch II,Key Account Manager,Sales,88.43824698422372,0,7.605622750599309,28241.699080828923,0.5308917562299164,5,4
E100118,Heinz-Dieter Eckbauer-Berger,HR Specialist,HR,147.9674275176743,2,45.525673906570105,39925.03491791508,0.06326279034160658,13,2
E100119,Gretel Benthin,Line Manager,IT,176.1845697994502,14,28.919409618829718,63307.54578587922,0.6782775374312145,7,5
E100120,Denise Stoll,HR Specialist,HR,157.20497073062694,7,46.61789454690735,49042.07984971496,0.7324433859140113,4,5
E100121,Univ.Prof. Bernd-Dieter Klapp MBA.,Line Manager,HR,140.6954599316007,3,46.37848106515981,36470.34920595762,0.7965461036649301,6,5
E100122,Vincenzo Hellwig-Fröhlich,Account Manager,Sales,167.4494646976143,1,42.83590011522833,28658.209180045556,0.7039505344127612,14,4
E100123,Dipl.-Ing. Aleksandr Gieß,Sales Representative,Sales,203.98234905960274,9,64.96817840356496,41027.35781067262,0.4313497341594349,9,3
E100124,Radmila Langern,Account Manager,Sales,134.94082492899943,3,38.61948150027622,35799.8139623945,0.29632409610066546,9,1
E100125,Ing. Daniel Zirme B.Sc.,DevOps Engineer,IT,156.61448178473148,2,37.14360432501412,41665.06271124591,0.07579923811142207,14,4
E100126,Steffi Bender-Möchlichen,Recruiter,HR,125.68271513813605,1,46.83672421416917,30450.775493179633,0.6974345755618608,5,3
E100127,Dr. Rüdiger Mies B.Eng.,Recruiter,HR,164.13717794077846,16,39.44552637886207,65925.63292730028,0.5367888627410206,7,4
E100128,Roswitha Heidrich,Key Account Manager,Sales,196.65136273989003,20,51.604935373940094,74219.75700259466,0.530815021241466,3,5
E100129,Herr Maurizio Gröttner MBA.,Data Scientist,IT,173.40791555140757,19,27.311940924244777,66581.56889536414,0.3413637550923861,12,4
E100130,Erna Bohnbach,DevOps Engineer,IT,157.26832500488098,12,27.4782555253566,60581.724187597596,0.1514359994807417,12,4
E100131,Gina Segebahn,Sales Lead,Sales,142.68249282780903,4,47.658094913262175,23456.696277597483,0.9147096271235464,12,2
E100132,Mariola Reising-Kabus,Business Development Manager,Sales,162.270472518205,20,28.351890606613964,63886.24860630913,0.8177897079243787,13,1
E100133,Bogdan Heß,Sales Representative,Sales,126.258211983792,8,46.09098606442714,41421.8385182077,0.8248922405144086,3,3
E100134,Prof. Wolfgang Hettner,Recruiter,HR,137.50602626601562,5,43.70002846210366,35901.42488566305,0.8593908358670408,7,3
E100135,Bert Schenk,Sales Representative,Sales,147.63478294159916,4,33.055117139723365,39681.314755929474,0.5804009842533461,12,4
E100136,Ing. Monika Zimmer,Software Engineer,IT,184.99610497870958,9,43.67170160233434,49450.18901526951,0.48580777474797,11,4
E100137,Ilonka auch Schlauchin,IT Project Lead,IT,148.65557783577069,7,27.654075542157607,45969.95286087504,0.43563219675571985,3,5
E100138,Hans-Josef Rust,Sales Representative,Sales,121.77414743749574,6,30.001000737362993,44980.40747066244,0.39060444271028844,3,3
E100139,Ferdinand Beyer MBA.,HR Business Partner,HR,112.62144014682801,6,37.62812261587934,37249.47715427175,0.3998247277428713,6,4
E100140,Johan Renner,People Operations Lead,HR,112.62201205590725,5,40.78927819072221,33909.11966596341,0.6192694268663748,6,1
E100141,Hans-Christian Losekann B.Sc.,Sales Representative,Sales,175.7439241066717,20,36.96361463012142,71981.59841003931,0.26160719492518175,4,4
E100142,Luitgard Johann,IT Project Lead,IT,214.52963941445424,19,44.33115963873111,64848.839631767805,0.5640869419109568,11,5
E100143,Osman Jacob,Sales Representative,Sales,142.25261476976758,2,43.88466415048291,26147.624773160147,0.20416974678355737,11,2
E100144,Marica Lange,Line Manager,Sales,193.43093496717077,18,55.29366808348144,70856.7214227074,0.5153130918343992,4,2
E100145,Helen Textor,Account Manager,Sales,174.13276441946013,14,39.04714652854995,64975.50953251149,0.5675316208819975,11,5
E100146,Kreszentia Eckbauer,System Administrator,IT,136.44397033915453,3,51.94563431184129,43785.8044484933,0.8226484277183891,8,1
E100147,Hasso Stadelmann MBA.,IT Project Lead,IT,187.14450296437067,11,49.20725512893893,52935.0386073736,0.26025099913013894,10,4
E100148,Prof. Karsten Jacobi Jäckel,Sales Representative,Sales,149.75007674979386,5,62.93977283293148,43129.66047986451,0.3478683526224498,12,2
E100149,Klothilde Ackermann-Jähn,Sales Lead,Sales,195.1864944353734,18,38.72741980097726,72849.34111680955,0.3899283519386882,6,4
E100150,Denise Losekann,Line Manager,HR,123.40184500973552,3,35.79641278547012,32792.92104988283,0.6792061002315187,4,4
E100151,Irmingard Margraf,Sales Lead,Sales,182.6574267122188,14,52.57694222243733,63553.38842027046,0.27091990557085527,4,3
E100152,Marietta Hamann MBA.,Key Account Manager,Sales,155.32440905927845,8,43.85432571741262,47376.98117071604,0.41716775311032656,11,3
E100153,Univ.Prof. August Hölzenbecher,Line Manager,IT,183.15248773828682,4,52.81659216783899,42568.558261712955,0.7738000764121806,3,5
E100154,Antonie Weitzel,HR Specialist,HR,163.67221924764985,12,47.167987979895,54930.46510437968,0.7123825487743305,14,4
E100155,Univ.Prof. Gero Hecker B.A.,Sales Representative,Sales,170.3283470398442,17,18.932379086005042,70481.28354874002,0.29114374282749567,9,5
E100156,Aleksandr Bien-Henschel,IT Project Lead,IT,169.8119705794041,4,43.763217770311826,39117.61881270768,0.4400731203571034,13,4
E100157,Prof. Sigrid Wilmsen B.Sc.,Data Scientist,IT,159.38541645848312,15,43.112158979514895,52580.10470266291,0.6102888861433647,5,3
E100158,Herlinde Schuchhardt B.A.,Key Account Manager,Sales,196.36496632660018,18,41.33106902463963,73259.63316157361,0.8687111876650273,5,3
E100159,Jeannine Kuhl-Henk,Line Manager,IT,179.5734563907139,13,38.67756945876617,51262.34629513944,0.7882499303250364,4,5
E100160,Matthias Stroh-Adolph,Account Manager,Sales,164.29295700313693,15,24.078564722056722,66265.29105121957,0.6718233844192673,12,1
E100161,Reinhard Löffler,Software Engineer,IT,164.7070250978945,14,48.74176917238323,57548.78559279839,0.4070183894291655,8,3
E100162,Dr. Roman Textor MBA.,System Administrator,IT,169.27670358456137,3,43.73768428093494,41880.05492598853,0.29564845319034216,12,2
E100163,Karl-Heinrich Hering,DevOps Engineer,IT,151.71127326866502,6,51.01956697397424,47673.843074333825,0.23408777930408992,4,4
E100164,Herbert Eimer,Key Account Manager,Sales,175.72843235274496,15,24.61244475724747,62150.714871576856,0.23631513114121758,12,4
E100165,Marie Radisch B.Eng.,Recruiter,HR,159.97526775098072,20,45.07134489545268,72542.67658813566,0.4166305721908788,6,1
E100166,Loretta Tschentscher MBA.,Business Development Manager,Sales,188.12226734376398,20,37.65340662453437,72113.14308596283,0.3487554446406555,12,4
E100167,Tamara Freudenberger MBA.,Sales Representative,Sales,167.54138978847897,7,41.437880099255295,33930.87621859461,0.29681672664898673,11,5
E100168,Ellen Weitzel B.A.,Sales Lead,Sales,186.89741819409707,16,37.76840365819109,62591.65109449101,0.20158360559277266,11,2
E100169,Ottilie Wulff,Data Scientist,IT,176.0239840666396,15,45.4360792748013,54419.679119640525,0.3073878665917173,8,5
E100170,Univ.Prof. Edith Höfig MBA.,IT Project Lead,IT,184.78469844256347,9,38.3712687900842,48855.93571872832,0.9818476679664254,6,5
E100171,Olaf Hörle,Sales Representative,Sales,164.51329155634727,9,29.480850749443107,42285.28726808392,0.6876712740283084,9,5
E100172,Ing. Gundolf Juncken B.Sc.,System Administrator,IT,122.76543014677073,1,40.86425418786191,26075.240293869625,0.1615321145060299,3,3
E100173,Constantin Heinrich-Kraus,Key Account Manager,Sales,163.2432925249065,8,37.85825462864499,54024.67250876951,0.7924727414855421,14,1
E100174,Nikolas Hamann-Bolnbach,Software Engineer,IT,163.15390362379026,16,39.16606378871116,67347.23694062095,0.33727363584145076,6,3
E100175,Dipl.-Ing. Georgia Riehl,Sales Representative,Sales,122.4574355823259,10,8.12188523959857,49979.28707527923,0.19721474179126539,7,4
E100176,Herma Bolander B.A.,Software Engineer,IT,179.07694934098157,9,46.826360835687055,48923.84325124512,0.06225193421224799,10,5
E100177,Dipl.-Ing. Theda Winkler,Sales Lead,Sales,178.0538563145768,16,36.85336382653219,60760.419871284954,0.813573776751838,14,4
E100178,Stanislaw Wieloch,HR Business Partner,HR,109.42314263323276,3,26.518464259817343,38849.38187989761,0.7416547828230696,4,2
E100179,Ivonne Albers-Kitzmann,Sales Lead,Sales,184.67804305770733,15,49.22563516848142,56619.72816725598,0.45581526251800747,14,2
E100180,Nora Krebs,Sales Representative,Sales,186.15326008240135,19,46.363657277529306,72968.70131433979,0.802941248384738,7,3
E100181,Prof. Nelli Wähner,Account Manager,Sales,175.95830751430643,14,36.726798037251434,56734.56579492945,0.14163364174933307,8,3
E100182,Dipl.-Ing. Emanuel Heydrich MBA.,HR Business Partner,HR,158.0618522083309,20,28.478306204799814,67900.76502084386,0.520469239224241,7,3
E100183,Frau Hatice Kallert MBA.,HR Business Partner,HR,134.98458778446863,4,41.78030734679373,38108.565092424215,0.5428255497453252,11,2
E100184,Dipl.-Ing. Vassilios Eckbauer,Line Manager,Sales,157.04804611233985,5,41.231060845876094,37044.26585037195,0.5461214828505828,12,2
E100185,Traugott Kreusel,Software Engineer,IT,185.30517282735659,16,49.24334282991782,63643.411747482416,0.3660262896427837,3,3
E100186,Attila Seifert,People Operations Lead,HR,111.01300701228669,0,35.5626448513951,27313.187053433,0.8580189931604632,5,2
E100187,Dr. Sonja Misicher,Data Scientist,IT,177.23971124430813,18,51.94922134864996,68342.61801409419,0.3115161513044885,4,3
E100188,Herr Folkert Kramer,Data Scientist,IT,140.70644897706353,3,34.59746996664233,42080.03269455738,0.8820402841844105,14,2
E100189,Desiree Metz,Business Development Manager,Sales,142.90993632492095,16,26.54168215457578,58403.39156595913,0.8060638606883958,5,2
E100190,Gerlinde Wesack,Business Development Manager,Sales,130.48477399823528,8,28.67717244522719,45347.12271352414,0.5880895573910582,12,1
E100191,Erika Weller-Linke,Line Manager,HR,129.20010101240683,1,39.375884608643844,34306.65356517711,0.11148042499361412,11,2
E100192,Saskia Butte,HR Specialist,HR,136.75554262116205,7,39.344854909412675,41820.713225092964,0.3533478616839214,11,4
E100193,Frau Nermin Reuter B.Sc.,Software Engineer,IT,193.666049774453,14,43.27861140750776,60321.60280413333,0.3261042196507212,12,4
E100194,Dorle Seip,Business Development Manager,Sales,155.43145432263609,6,39.096259688815586,44776.9943032587,0.40452811241973696,4,4
E100195,Reinhart Siering,Sales Lead,Sales,142.70693333920516,5,49.773185160643294,45416.30888147152,0.5589528933471762,5,4
E100196,Pietro Becker,DevOps Engineer,IT,126.31398736257523,0,37.38905901537424,26970.04976957544,0.25217075360623403,6,4
E100197,Dr. Siegfried Bärer B.A.,HR Specialist,HR,124.58047793061773,14,20.03723735128584,53286.12379884763,0.21675001203723016,11,5
E100198,Dr. Hugo Staude B.Sc.,HR Specialist,HR,121.27284170566107,6,38.789033115342065,40462.11305218128,0.4237231674187937,5,1
E100199,Holger Thies B.Eng.,Line Manager,IT,168.80042029926403,16,19.932213122335188,57161.2383022645,0.3622630715880284,9,5
E100200,Charlotte auch Schlauchin,Software Engineer,IT,162.11204809995925,1,42.713909809976975,34822.49102023749,0.5783938562732126,14,5
E100201,Reiner Fröhlich,Account Manager,Sales,156.63030168844088,8,50.57192998984916,40191.24349911795,0.03891868326702979,5,4
E100202,Babett Sager,Sales Representative,Sales,160.7123277765322,8,30.137755137174807,57665.08209126344,0.4758151544207882,9,2
E100203,Vito Jockel,Recruiter,HR,140.92095957941865,12,54.18556686391851,60479.639307868754,0.6524429109399503,9,2
E100204,Heidelore Trubin-Gumprich,Software Engineer,IT,171.0792992019848,5,48.42831244728431,40062.87884800157,0.3101649861034707,11,3
E100205,Knut Stumpf,Sales Lead,Sales,147.80531407122487,5,52.06480155415055,44336.97246498988,0.681428912965196,4,3
E100206,Herr Nicolai Wirth B.Eng.,Sales Representative,Sales,186.44374657232095,19,41.895638564346314,59815.99067844604,0.678223794793956,8,4
E100207,Rocco Rosemann,System Administrator,IT,186.71952327397477,19,30.072348242481795,80616.8666569978,0.6794007465813026,11,4
E100208,Hakan Reichmann,Sales Representative,Sales,212.39468747220837,20,47.80815427814137,67048.92693899755,0.7740316460022862,14,3
